song	artist	hip_hop_rnb	genre
Climax	Usher	1	Hip Hop / RnB
Closer Than Friends	Surface	1	Hip Hop / RnB
Come and Talk to Me	Jodeci	1	Hip Hop / RnB
Confessions Part II	Usher	1	Hip Hop / RnB
Country Grammar (Hot Shit)	Nelly	1	Hip Hop / RnB
Crank That (Soulja Boy)	Soulja Boy	1	Hip Hop / RnB
Crazy	The Boys	1	Hip Hop / RnB
Crazy in Love	Beyoncé featuring Jay-Z	1	Hip Hop / RnB
Creep	TLC	1	Hip Hop / RnB
Cry for You	Jodeci	1	Hip Hop / RnB
Da Butt	E.U.	1	Hip Hop / RnB
Daddy's Little Girl	Nikki D	1	Hip Hop / RnB
Damn!	YoungBloodz featuring Lil Jon	1	Hip Hop / RnB
Danger (Been So Long)	Mystikal featuring Nivea	1	Hip Hop / RnB
Dansin wit Wolvez	Strik 9ine	1	Hip Hop / RnB
Dead and Gone	T.I. featuring Justin Timberlake	1	Hip Hop / RnB
Déjà Vu	Beyoncé featuring Jay Z	1	Hip Hop / RnB
Deuces	Chris Brown featuring Tyga & Kevin McCall	1	Hip Hop / RnB
Dial My Heart	The Boys	1	Hip Hop / RnB
Diamonds	Rihanna	1	Hip Hop / RnB
Diamonds and Pearls	Prince and the New Power Generation	1	Hip Hop / RnB
Differences	Ginuwine	1	Hip Hop / RnB
Dilemma	Nelly featuring Kelly Rowland	1	Hip Hop / RnB
Do It to Me	Lionel Richie	1	Hip Hop / RnB
Do Me Again	Freddie Jackson	1	Hip Hop / RnB
Don't Be Afraid	Aaron Hall	1	Hip Hop / RnB
Don't Be Cruel	Bobby Brown	1	Hip Hop / RnB
Don't Forget About Us	Mariah Carey	1	Hip Hop / RnB
Don't Let Go (Love)	En Vogue	1	Hip Hop / RnB
Don't Mind	Kent Jones	1	Hip Hop / RnB
Don't Take It Personal	Jermaine Jackson	1	Hip Hop / RnB
Don't Take It Personal (Just One of Dem Days)	Monica	1	Hip Hop / RnB
Don't Tell 'Em	Jeremih featuring YG	1	Hip Hop / RnB
Don't Wanna Change the World	Phyllis Hyman	1	Hip Hop / RnB
Down Low (Nobody Has to Know)	R. Kelly featuring Ronald Isley	1	Hip Hop / RnB
Drank in My Cup	Kirko Bangz	1	Hip Hop / RnB
Dreamin'	Vanessa Williams	1	Hip Hop / RnB
Drop It Like It's Hot	Snoop Dogg featuring Pharrell	1	Hip Hop / RnB
Drunk in Love	Beyoncé featuring Jay-Z	1	Hip Hop / RnB
Earned It	The Weeknd	1	Hip Hop / RnB
Emotions	Mariah Carey	1	Hip Hop / RnB
Empire State of Mind	Jay-Z	1	Hip Hop / RnB
Empire State of Mind	Jay-Z featuring Alicia Keys	1	Hip Hop / RnB
End of the Road	Boyz II Men	1	Hip Hop / RnB
Escapade	Janet Jackson	1	Hip Hop / RnB
Every Little Step	Bobby Brown	1	Hip Hop / RnB
Everything I Miss at Home	Cherrelle	1	Hip Hop / RnB
Everything to Me	Monica	1	Hip Hop / RnB
Exclusivity	Damian Dame	1	Hip Hop / RnB
Excuse Me Miss	Jay-Z	1	Hip Hop / RnB
Exhale (Shoop Shoop)	Whitney Houston	1	Hip Hop / RnB
Expression	Salt-n-Pepa	1	Hip Hop / RnB
Fall for Your Type	Jamie Foxx featuring Drake	1	Hip Hop / RnB
Fallin'	Alicia Keys	1	Hip Hop / RnB
Family Affair	Mary J. Blige	1	Hip Hop / RnB
